,name,gender,time,place,timezone,Rodden Rating,Category
314,"


Accident: Mecca Hajj stampede (2015)
"," N/A

","24 September 2015 at 09:00  (= 09:00 AM )
","Mecca, Saudi Arabia, 21n27,  39e49 
","MSK h3e (is standard time)
",A,"2015 births&Birthday 24 September&Birthplace Mecca, SAUDI&Sun 0 Libra&Moon 7 Aquarius&Asc 9 Scorpio&Mundane : Disasters : Accidents"
315,"


Accident: Mexicana Airlines Crash 1986
"," N/A

","31 March 1986 at 09:04  (= 09:04 AM )
","Maravatío de Ocampo, Mexico, 19n54,  100w27 
","CST h6w (is standard time)
",A,Mundane : Disasters : Accidents
316,"


Accident: Mine Cave-In Utah
"," N/A

","6 August 2007 at 03:50  (= 03:50 AM )
","Huntington, Utah, 39n20,  110w58 
","MDT h6w (is daylight saving time)
",A,Mundane : Disasters : Natural Disasters
317,"


Accident: Moorgate Train Crash, London Underground
"," N/A

","28 February 1975 at 08:46  (= 08:46 AM )
","London, England, 51n30,  0w10 
","GMT h0e (is standard time)
",A,Mundane : Disasters : Accidents
318,"


Accident: Moscow metro derailment
"," N/A

","15 July 2014 at 08:45  (= 08:45 AM )
","Moscou, Russian Federation, 55n45,  37e35 
","R3T h4e (is standard time)
",A,Mundane : Disasters : Accidents
319,"


Accident: PEPCON disaster
"," N/A

","4 May 1888 at 11:51  (= 11:51 AM )
","Henderson, Nevada, 36n02,  114w59 
","PST h8w (is standard time)
",B,Mundane : Disasters : Accidents
320,"


Accident: Paris Trévise gas explosion
"," N/A

","12 January 2019 at 08:50  (= 08:50 AM )
","Paris Arrondissement 9, France, 48n5221,  2e2025 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
321,"


Accident: Paris Trévise gas explosion
"," N/A

","12 January 2019 at 08:50  (= 08:50 AM )
","Paris Arrondissement 9, France, 48n5221,  2e2025 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
323,"


Accident: Piper Alpha Oil Rig Explosion
"," N/A

","6 July 1988 at 21:58  (= 9:58 PM )
","Piper Alpha Oil Rig North Sea, Scotland, 58n2801,  0e1536 
","BST h1e (is daylight saving time)
",A,Mundane : Disasters : Accidents
324,"


Accident: Plane, Atlantic City
"," N/A

","21 May 2000 at 11:48  (= 11:48 AM )
","Wilkes-Barre, Pennsylvania, 41n15,  75w53 
","EDT h4w (is daylight saving time)
",A,Mundane : Disasters : Accidents
325,"


Accident: Plane, USAir
"," N/A

","8 September 1994 at 19:03  (= 7:03 PM )
","Pittsburgh, Pennsylvania, 40n26,  80w00 
","EDT h4w (is daylight saving time)
",A,Mundane : Disasters : Accidents
326,"


Accident: Plane Aspen
"," N/A

","29 March 2001 at 19:02  (= 7:02 PM )
","Aspen, Colorado, 39n11,  106w49 
","MST h7w (is standard time)
",A,Mundane : Disasters : Accidents
327,"


Accident: Plane Crash 14268
"," N/A

","21 December 1967 at 16:00  (= 4:00 PM )
","Santa Fe Drive, Colorado, 39n44,  105w01 
","MST h7w (is standard time)
",A,
328,"


Plane Crash: Bonanza Airlines (1964)
"," N/A

","15 November 1964 at 20:25  (= 8:25 PM )
","Las Vegas, Nevada, 36n11,  115w08 
","PST h8w (is standard time)
",A,Mundane : Disasters : Accidents
329,"


Plane Crash: EAL Flight 304 (1964)
"," N/A

","25 February 1964 at 02:06  (= 02:06 AM )
","Slidell, Louisiana, 30n17,  89w47 
","CST h6w (is standard time)
",A,Mundane : Disasters : Accidents
330,"


Plane Crash: Frontier Airlines (1964)
"," N/A

","12 March 1964 at 20:50  (= 8:50 PM )
","Miles City, Montana, 46n25,  105w50 
","MST h7w (is standard time)
",A,Mundane : Disasters : Accidents
331,"


Plane Crash: TWA Flight 800 (1964)
"," N/A

","23 November 1964 at 14:15  (= 2:15 PM )
","Roma, Italy, 41n54,  12e29 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
332,"


Accident: Plane Ecuador
"," N/A

","29 August 1998 at 13:20  (= 1:20 PM )
","Quito, Ecuador, 0s13,  78w30 
","EST h5w (is standard time)
",A,
333,"


Accident: Plane Mexico
"," N/A

","12 September 2001 at 17:00  (= 5:00 PM )
","Chichén Itzá, Mexico, 20n40,  88w34 
","CDT h5w (is daylight saving time)
",A,Mundane : Disasters : Accidents
334,"


Accident: Plane Nat'l Guard
"," N/A

","3 March 2001 at 11:00  (= 11:00 AM )
","Unadilla, Georgia (US), 32n16,  83w44 
","EST h5w (is standard time)
",A,Mundane : Disasters : Accidents
335,"


Accident: Plane Swissair
"," N/A

","2 September 1998 at 20:16  (= 8:16 PM )
","New York, New York, 40n43,  74w00 
","EDT h4w (is daylight saving time)
",A,
337,"


Accident: Ponte Morandi bridge collapse, Genoa
"," N/A

","14 August 2018 at 11:36  (= 11:36 AM )
","Genoa, Italy, 44n25,  8e57 
","CEST h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
338,"


Accident: Riga shopping centre roof collapse
"," N/A

","21 November 2013 at 17:41  (= 5:41 PM )
","Riga, Latvia, 56n57,  24e06 
","EET h2e (is standard time)
",A,Mundane : Disasters : Accidents
339,"


Accident: S.S. Anglia (ship)
"," N/A

","24 August 1892 at 16:00  (= 4:00 PM )
","Calcutta, India, 22n32,  88e22 
","LST m88e20 (is local mean time)
",C,Mundane : Disasters : Accidents
340,"


Accident: Savar building collapse
"," N/A

","24 April 2013 at 08:45  (= 08:45 AM )
","Savar, Bangladesh, 23n5046,  90e1527 
","R5T h6e (is standard time)
",A,Pages with broken file links&Mundane : Disasters : Accidents&Mundane : Disasters : Other Disasters
341,"


Accident: Schweizerhalle
"," N/A

","1 November 1986 at 00:19  (= 12:19 AM )
","Basel, Switzerland, 47n33,  7e35 
","MET h1e (is standard time)
",A,Diagnoses : Major Diseases : Other Major diseases&Diagnoses : Body Part Problems : Accident/Injury&Mundane : Disasters : Accidents
342,"


Accident: Seoul Halloween crowd crush
"," N/A

","29 October 2022 at 22:20  (= 10:20 PM )
","Seoul, Korea (N and S), 37n33,  126e58 
","KST h9e (is standard time)
",AA,Mundane : Disasters : Deranged Actions
343,"


Accident: Seveso disaster
"," N/A

","10 July 1976 at 12:37  (= 12:37 PM )
","Seveso, Italy, 45n39,  9e09 
","MEDT h2e (is daylight saving time)
",A,Diagnoses : Major Diseases : Allergies&Mundane : Disasters : Accidents
344,"


Accident: Ship explosion
"," N/A

","3 November 1893 at 16:45  (= 4:45 PM )
","Santander, Spain, 43n28,  3w48 
","LMT m3w48 (is local mean time)
",A,Mundane : Disasters : Deranged Actions
345,"


Accident: Shoreham Airshow Crash
"," N/A

","22 August 2015 at 13:22  (= 1:22 PM )
","Shoreham, England, 51n20,  0e11 
","BST h1e (is daylight saving time)
",AA,Mundane : Disasters : Accidents
